-1,critcalzone.org variable,czo_id,Discipline,CZOs,ODM2Name,ODM2Term,CZO Variable Action,New ODM2 Term,comments,units,Aggregation,,czo_url, czo_id
48,18o standard deviation permil,2599,Water Chemistry|Hydrology,Shale Hills,delta-18O of H2O,delta_18OOfH2O,ODM2,,,permil,,,http://criticalzone.org/national/data/dataset/2599,2599
49,18o standard deviation permil,2599,Water Chemistry|Hydrology,Shale Hills,delta-18O of H2O,delta_18OOfH2O,ODM2,,,permil,,,http://criticalzone.org/national/data/dataset/2599,2599
50,18o standard deviation permil,2600,Water Chemistry|Hydrology,Shale Hills,delta-18O of H2O,delta_18OOfH2O,ODM2,,,permil,,,http://criticalzone.org/national/data/dataset/2600,2600
51,18o standard deviation permil,2654,Biology / Ecology|Hydrology,Shale Hills,delta-18O of H2O,delta_18OOfH2O,ODM2,,,permil,,,http://criticalzone.org/national/data/dataset/2654,2654
52,2,4155,Geomorphology|Biology / Ecology,Shale Hills,,,Remove,,,,,,http://criticalzone.org/national/data/dataset/4155,4155
53,2,4155,Geomorphology|Biology / Ecology,Shale Hills,,,Remove,,,,,,http://criticalzone.org/national/data/dataset/4155,4155
54,2 esri float format 10m dem from ground classified points,5446,GIS / Remote Sensing,Calhoun,,,New ODM2 Term,"Digital elevation model, DEM",,,,,http://criticalzone.org/national/data/dataset/5446,5446
55,2 esri format 1m dem from ground classified points,4671,GIS / Remote Sensing,Calhoun,,,New ODM2 Term,"Digital elevation model, DEM",,,,,http://criticalzone.org/national/data/dataset/4671,4671
56,2008 ag biomass kg,4033,Biology / Ecology,Shale Hills,Biomass,biomass,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4033,4033
57,2008 dbh cm,4033,Biology / Ecology,Shale Hills,,,New ODM2 Term,DBH,,cm,,,http://criticalzone.org/national/data/dataset/4033,4033
58,2012 ag biomass kg,4033,Biology / Ecology,Shale Hills,Biomass,biomass,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4033,4033
59,2012 dbh cm,4033,Biology / Ecology,Shale Hills,,,New ODM2 Term,DBH,,cm,,,http://criticalzone.org/national/data/dataset/4033,4033
60,253matricpotential kpa,2601,Soil Science / Pedology,Shale Hills,,,New ODM2 Term,"Water potential, Matric potential",,kpa,,,http://criticalzone.org/national/data/dataset/2601,2601
61,253matricpotential kpa,2601,Soil Science / Pedology,Shale Hills,,,New ODM2 Term,"Water potential, Matric potential",,kpa,,,http://criticalzone.org/national/data/dataset/2601,2601
62,253matricpotential kpa,2601,Soil Science / Pedology,Shale Hills,,,New ODM2 Term,"Water potential, Matric potential",,kpa,,,http://criticalzone.org/national/data/dataset/2601,2601
63,253matricpotential kpa,2601,Soil Science / Pedology,Shale Hills,,,New ODM2 Term,"Water potential, Matric potential",,kpa,,,http://criticalzone.org/national/data/dataset/2601,2601
64,253matricpotential kpa,2601,Soil Science / Pedology,Shale Hills,,,New ODM2 Term,"Water potential, Matric potential",,kpa,,,http://criticalzone.org/national/data/dataset/2601,2601
65,2h,3850,Hydrology|Water Chemistry|Climatology / Meteorology,Luquillo,Deuterium,deuterium,ODM2,,,,,,http://criticalzone.org/national/data/dataset/3850,3850
66,2h,2580,Biogeochemistry|Water Chemistry|Hydrology,Shale Hills,Deuterium,deuterium,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2580,2580
67,2h,2582,Biogeochemistry|Water Chemistry|Hydrology,Shale Hills,Deuterium,deuterium,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2582,2582
68,2h,2645,Water Chemistry|Hydrology,Shale Hills,Deuterium,deuterium,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2645,2645
69,2h permil,2655,Biology / Ecology|Hydrology,Shale Hills,Deuterium,deuterium,ODM2,,,permil,,,http://criticalzone.org/national/data/dataset/2655,2655
70,2h reportable value permil,2593,Water Chemistry|Hydrology|Climatology / Meteorology,Shale Hills,Deuterium,deuterium,ODM2,,,permil,,,http://criticalzone.org/national/data/dataset/2593,2593
71,2h reportable value permil,2594,Water Chemistry|Hydrology,Shale Hills,Deuterium,deuterium,ODM2,,,permil,,,http://criticalzone.org/national/data/dataset/2594,2594
72,2h reportable value permil,2599,Water Chemistry|Hydrology,Shale Hills,Deuterium,deuterium,ODM2,,,permil,,,http://criticalzone.org/national/data/dataset/2599,2599
73,2h reportable value permil,2599,Water Chemistry|Hydrology,Shale Hills,Deuterium,deuterium,ODM2,,,permil,,,http://criticalzone.org/national/data/dataset/2599,2599
74,2h reportable value permil,2599,Water Chemistry|Hydrology,Shale Hills,Deuterium,deuterium,ODM2,,,permil,,,http://criticalzone.org/national/data/dataset/2599,2599
75,2h reportable value permil,2600,Water Chemistry|Hydrology,Shale Hills,Deuterium,deuterium,ODM2,,,permil,,,http://criticalzone.org/national/data/dataset/2600,2600
76,2h reportable value permil,2654,Biology / Ecology|Hydrology,Shale Hills,Deuterium,deuterium,ODM2,,,permil,,,http://criticalzone.org/national/data/dataset/2654,2654
77,2h standard deviation permil,2593,Water Chemistry|Hydrology|Climatology / Meteorology,Shale Hills,Deuterium,deuterium,ODM2,,,permil,,,http://criticalzone.org/national/data/dataset/2593,2593
78,2h standard deviation permil,2594,Water Chemistry|Hydrology,Shale Hills,Deuterium,deuterium,ODM2,,,permil,,,http://criticalzone.org/national/data/dataset/2594,2594
79,2h standard deviation permil,2599,Water Chemistry|Hydrology,Shale Hills,Deuterium,deuterium,ODM2,,,permil,,,http://criticalzone.org/national/data/dataset/2599,2599
80,2h standard deviation permil,2599,Water Chemistry|Hydrology,Shale Hills,Deuterium,deuterium,ODM2,,,permil,,,http://criticalzone.org/national/data/dataset/2599,2599
81,2h standard deviation permil,2599,Water Chemistry|Hydrology,Shale Hills,Deuterium,deuterium,ODM2,,,permil,,,http://criticalzone.org/national/data/dataset/2599,2599
82,2h standard deviation permil,2600,Water Chemistry|Hydrology,Shale Hills,Deuterium,deuterium,ODM2,,,permil,,,http://criticalzone.org/national/data/dataset/2600,2600
83,2h standard deviation permil,2654,Biology / Ecology|Hydrology,Shale Hills,Deuterium,deuterium,ODM2,,,permil,,,http://criticalzone.org/national/data/dataset/2654,2654
84,3,4155,Geomorphology|Biology / Ecology,Shale Hills,,,Remove,,,,,,http://criticalzone.org/national/data/dataset/4155,4155
85,3,4155,Geomorphology|Biology / Ecology,Shale Hills,,,Remove,,,,,,http://criticalzone.org/national/data/dataset/4155,4155
